gate_index,x1_m,y1_m,z1_m,x2_m,y2_m,z2_m
90,-2.051162273995743,-3.257728317522492,0,2.0511622739957573,3.2577283175225205,0
91,-11.677674727651748,0.6073758695365257,0,-14.967995173166045,-6.861337388915473,0
92,-20.59491999303104,5.137527207563522,0,-17.567532434251042,12.00940791740652,0
93,-33.08860052527374,8.4506889869335,0,-33.08860052527374,3.2577283175225205,0
94,-41.99636521734044,6.791643133054521,0,-42.31096219264544,1.4773485803005144,0
95,-50.11147641920214,6.791643133054521,0,-50.11147641920214,1.4773485803005144,0
96,-79.64755469963113,6.791643133054521,0,-79.64755469963113,2.091538441119525,0
97,-86.91113060669761,6.791643133054521,0,-86.91113060669761,2.499318141165503,0
98,-95.28488674713884,10.118415569954522,0,-95.28488674713884,5.570510952060516,0
99,-102.55798353956214,6.20667167276352,0,-102.31720697911663,11.775367128921516,0
100,-106.65118506713495,11.564687638531524,0,-103.28031322089853,3.2577283175225205,0
101,-116.90467952087684,-0.29983511121349693,0,-104.05835075181884,-2.370014101705493,0
102,-112.14488439927365,-9.61454761201648,0,-100.78279281867265,-6.861337388915473,0
103,-108.54724105553004,-18.622331928168478,0,-95.28488674713884,-15.032949159823488,0
104,-105.49140734757034,-19.645943782276476,0,-97.81431844175884,-21.015648391109494,0
105,-104.05835075181884,-21.9490704540205,0,-99.55445859374284,-24.303377718468482,0
106,-104.99231160112924,-26.212362848158477,0,-108.27928873520864,-19.132091791880498,0
107,-125.97693237745314,-23.7798220415755,0,-126.72182743903073,-16.627275471150483,0
108,-128.22081044137173,-18.622331928168478,0,-129.77353994327166,-21.015648391109494,0
109,-136.25320347967346,-16.627275471150483,0,-134.16298943567284,-12.625949412776492,0
110,-134.70644508711302,-12.291515165736485,0,-143.10910554399544,-12.291515165736485,0
111,-138.55520215759685,-3.913250787129499,0,-134.16298943567284,-5.383034820605474,0
112,-137.26961617705143,-2.811862859514491,0,-133.41285823541514,-2.811862859514491,0
113,-138.01608545607783,-2.370014101705493,0,-135.07167885547375,1.4773485803005144,0
114,-139.26020092112174,-2.370014101705493,0,-137.26961617705143,2.499318141165503,0
115,-147.13959886640023,-1.899511518482484,0,-147.67871556791934,2.499318141165503,0
116,-148.54959639345014,-1.899511518482484,0,-151.03782732353804,1.7498938456465112,0
117,-148.54959639345014,-2.811862859514491,0,-153.69194031563183,-2.811862859514491,0
118,-156.29082973440845,-18.157724137998486,0,-151.23338846881086,-16.440546405958486,0
119,-156.29082973440845,-19.132091791880498,0,-152.40953760034515,-21.9490704540205,0
120,-157.70220869224966,-19.132091791880498,0,-157.27879500489723,-23.568010143056483,0
121,-183.85760838770403,8.084959359063504,0,-181.32153992081203,13.25590415519352,0
122,-184.94449487351505,9.073037982527524,0,-184.94449487351505,13.78287942104052,0
123,-185.70202181817103,8.084959359063504,0,-188.89680936737204,13.25590415519352,0
124,-207.70851658960504,4.523069389990525,0,-199.76254461896204,-1.899511518482484,0
125,-211.13139682311206,-13.682458933595484,0,-214.79876850187003,-11.901801114693484,0
126,-245.92476681147804,-24.303377718468482,0,-245.92476681147804,-29.522749422948493,0
127,-271.7232325749691,-9.61454761201648,0,-267.13667026110306,-6.861337388915473,0
128,-269.87345647003804,13.25590415519352,0,-287.99352639068206,-0.29983511121349693,0
129,-298.55376631135005,13.25590415519352,0,-295.58027461547005,16.97659034522951,0
130,-320.24312384127103,13.25590415519352,0,-319.46850392948807,19.733282183281517,0
131,-321.1337436381431,13.25590415519352,0,-327.270553696256,20.296795536010507,0
132,-321.78493073537106,12.688332336251506,0,-327.880423018801,12.688332336251506,0
133,-328.75711016996,10.50076954262451,0,-321.400561466756,11.248110446561526,0
134,-328.75711016996,8.084959359063504,0,-324.03062292023304,7.3763807575235205,0
135,-327.270553696256,-9.125884722563484,0,-322.30277995213305,-9.964930164990477,0
136,-326.19188028768605,-19.132091791880498,0,-321.400561466756,-18.157724137998486,0
137,-327.270553696256,-19.132091791880498,0,-321.1337436381431,-24.303377718468482,0
138,-328.35249158521503,-19.132091791880498,0,-331.3773474017561,-24.303377718468482,0
139,-357.904352648977,-23.568010143056483,0,-361.89106836689507,-18.622331928168478,0
140,-362.46692730392806,-18.622331928168478,0,-368.092626150324,-23.568010143056483,0
