gate_index,x1_m,y1_m,z1_m,x2_m,y2_m,z2_m
1,5.55111512312578E-16,2.25,0,5.55111512312578E-16,-2.25,0
2,23.2484928070758,-4.25418561752873,0,21.7620559439519,-11.0945441937984,0
3,35.2586208075466,-5.33691940973581,0,34.6734523228552,1.63857898425181,0
4,40.0504871211758,-5.33691940973581,0,40.0504871211758,1.66308059026419,0
5,52.0193132315177,-4.25654864228236,0,51.9308483053091,-8.75567899789898,0
6,56.561752857373,2.25,0,56.5474644820043,-2.24997731575719,0
7,72.7423187568776,-3.7874007666435,0,71.7074658668234,-8.16679336105046,0
8,95.9932006643916,0.687173270882336,0,95.5115879348187,-3.78698018856822,0
9,117.66217921961,-11.2641818613506,0,117.66217921961,-15.7641818613506,0
10,125.96279539722,0.672353300455264,0,126.575096167965,-3.78579516792772,0
11,137.041820960247,-5.33691940973581,0,137.041820960247,-9.83691940973581,0
12,149.412101858682,-1.03851033964531,0,151.387509807581,-5.08174709197976,0
13,159.22293172353,-9.28576189007997,0,158.145467312354,-13.6548659678802,0
14,170.246816829483,-12.2398889322366,0,171.477624089875,-19.1308332425448,0
15,173.931389756787,-9.30334277746451,0,176.735326247466,-15.7172292869252,0
16,180.732650063961,-9.28576189007997,0,179.323649657164,-2.42903396390085,0
17,192.977591776031,-7.37736690212858,0,194.749762417912,-14.1493246113921,0
18,201.973875482857,-3.18290455553606,0,200.670059129687,3.69459956421589,0
19,212.872290891011,-3.7857576454001,0,212.872290891011,3.2142423545999,0
20,225.506635726699,2.88534428875889,0,224.270645692648,-4.00467230307353,0
21,231.661218391414,-6.01886935503434,0,230.033835818813,-12.8270721988392,0
22,246.479922543922,-1.91315356479767,0,244.85253997132,-8.72135640860257,0
23,251.284381933405,-11.906649570778,0,250.589052944028,-16.3526047658437,0
24,254.89557250586,-11.906649570778,0,257.010831744275,-18.5794059992939,0
25,258.186250114653,-10.2966832451963,0,261.697064056713,-16.3526047658437,0
26,263.680207204658,-7.37736690212858,0,267.169328174787,-13.4458127374149,0
27,270.695318808277,-8.49695186794783,0,270.973947006398,-4.00558611494886,0
28,285.090520090796,-11.906649570778,0,285.090520090796,-16.406649570778,0
29,291.557999663543,-6.01886935503434,0,295.504041135118,-11.8006300474714,0
30,300.790141505261,1.88780084528345,0,302.060943311293,-2.42903396390085,0
31,322.352458115352,1.67792048228968,0,322.352458115352,-2.82207951771032,0
32,337.257407930599,-2.87736690212858,0,337.257407930599,-7.37736690212858,0
33,346.633572999301,-9.61692222083689,0,348.069666863782,-13.8816185069048,0
34,360.48204691244,-6.94176563473055,0,360.48204691244,-11.4417656347306,0
35,361.159936893209,-12.0066739520381,0,365.659936893209,-12.0066739520381,0
36,358.01799215925,-32.4768168237376,0,362.51799215925,-32.4768168237376,0
37,356.783372144548,-33.1995212225873,0,356.783372144548,-37.6995212225873,0
38,339.814919940361,-29.6862198517119,0,339.814919940361,-34.1862198517119,0
39,317.1567288079,-32.0913947628854,0,317.1567288079,-36.5913947628854,0
40,308.201298048592,-28.2242769350025,0,309.05061932769,-23.8051533380806,0
41,301.077659944598,-27.8172119004885,0,299.916914672102,-23.4694917608774,0
42,277.475154932936,-33.9381978619034,0,277.475154932935,-38.4381978619034,0
43,255.721497394721,-26.79520583443,0,255.721497394721,-22.29520583443,0
44,241.393117632871,-24.9162698044945,0,241.393117632871,-29.4162698044945,0
45,229.842221616254,-38.0319241793323,0,229.842221616254,-31.0319241793323,0
46,221.001001842836,-33.4565440498736,0,221.001001842836,-26.4565440498736,0
47,212.872290891011,-34.8071563356041,0,214.106906014773,-41.6974194289974,0
48,203.324569718156,-34.1862198517119,0,204.305687492875,-27.2553174637013,0
49,188.361647771612,-34.8071563356041,0,188.361647771612,-41.8071563356041,0
50,163.637125049988,-24.968183683388,0,165.388307968085,-31.7455990009971,0
51,146.138926539517,-37.2708844110491,0,146.138926539517,-44.2708844110491,0
52,129.148222520203,-32.9009564870075,0,129.148222520203,-25.9009564870075,0
53,106.536374296805,-34.5612716367085,0,106.536374296805,-41.5612716367085,0
54,95.5115879348187,-33.1995212225873,0,95.5115879348187,-26.1995212225873,0
55,70.4985649661836,-30.7747200787221,0,70.4985649661836,-35.2747200787221,0
