Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====

Obj funtion: (0.1053301329318835, 0.006783433655174847)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013287461464, 0.006783433682803996)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013377106083, 0.006783434241051961)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013083743371, 0.006783432843814351)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013556335565, 0.006783433486118075)   (rho_normalized calls: 357) 


Obj funtion: (0.10533012731297255, 0.006783433756785227)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013165250314, 0.006783433651716124)   (rho_normalized calls: 357) 


Obj funtion: (0.1053301329310463, 0.006783433655564979)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013292628558, 0.006783433652054131)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013294016712, 0.006783433656036498)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013301752533, 0.006783433658563487)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013302299402, 0.006783433654224983)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013294855753, 0.006783433648777391)   (rho_normalized calls: 357) 


Obj funtion: (0.1053301329370495, 0.006783433652648576)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013297131309, 0.006783433677598746)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013293033319, 0.006783433660063969)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013285575045, 0.0067834336449282395)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013270882237, 0.006783433650706057)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013293614893, 0.0067834336382558095)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013293180689, 0.006783433655204282)   (rho_normalized calls: 357) 


Obj funtion: (0.1053301329317101, 0.006783433654928896)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013293391473, 0.006783433656424087)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013293447549, 0.0067834336545097955)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013292485968, 0.006783433653776176)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013293180007, 0.006783433654907058)   (rho_normalized calls: 357) 


