Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.08435026491020933, 0.005113832815287445)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606178661, 0.005113832845847341)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606118928, 0.005113832837848776)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026607891613, 0.005113832818437024)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026608515502, 0.005113832839281445)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026611836877, 0.005113832845746738)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026607728985, 0.005113832839126035)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026607519046, 0.005113832847198511)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026607963142, 0.005113832871992814)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026603222598, 0.005113832914800341)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026624637992, 0.005113832859187294)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026607841012, 0.005113832845801073)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026605584331, 0.005113832833851581)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606345991, 0.005113832845910319)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606365414, 0.005113832845093859)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606527767, 0.00511383283059805)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606206947, 0.005113832846389129)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026605934, 0.005113832845135565)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606366383, 0.005113832845812674)   (rho_normalized calls: 357) 


Obj funtion: (0.08435026606437626, 0.005113832846417927)   (rho_normalized calls: 357) 


