distance_m,x_m,y_m
106.0000,104.5673,8.0217
106.5000,105.0517,7.9007
107.0000,105.5379,7.7798
107.5000,106.0245,7.6594
108.0000,106.5102,7.5402
108.5000,106.9985,7.4217
109.0000,107.4951,7.3028
109.5000,107.9865,7.1870
110.0000,108.4713,7.0749
110.5000,108.9485,6.9671
111.0000,109.4449,6.8578
111.5000,109.9465,6.7510
112.0000,110.4363,6.6504
112.5000,110.9141,6.5563
113.0000,111.3994,6.4652
113.5000,111.9025,6.3758
114.0000,112.3943,6.2936
114.5000,112.8776,6.2176
115.0000,113.3699,6.1446
115.5000,113.8707,6.0742
116.0000,114.3661,6.0076
116.5000,114.8534,5.9447
117.0000,115.3636,5.8814
117.5000,115.8643,5.8219
118.0000,116.3513,5.7668
118.5000,116.8482,5.7136
119.0000,117.3524,5.6635
119.5000,117.8434,5.6192
120.0000,118.3361,5.5803
120.5000,118.8370,5.5473
121.0000,119.3332,5.5222
121.5000,119.8275,5.5054
122.0000,120.3239,5.4972
122.5000,120.8269,5.4979
123.0000,121.3223,5.5073
123.5000,121.8163,5.5248
124.0000,122.3220,5.5505
124.5000,122.8231,5.5831
125.0000,123.3169,5.6217
125.5000,123.8184,5.6667
126.0000,124.3222,5.7177
126.5000,124.8152,5.7727
127.0000,125.3093,5.8319
127.5000,125.8099,5.8941
128.0000,126.2955,5.9551
128.5000,126.7846,6.0161
129.0000,127.2861,6.0772
129.5000,127.7958,6.1374
130.0000,128.2817,6.1929
130.5000,128.7768,6.2473
131.0000,129.2796,6.3003
131.5000,129.7859,6.3515
132.0000,130.2836,6.3999
132.5000,130.7829,6.4464
133.0000,131.2816,6.4912
133.5000,131.7795,6.5341
134.0000,132.2903,6.5767
134.5000,132.7932,6.6171
135.0000,133.2861,6.6555
135.5000,133.7777,6.6926
136.0000,134.2960,6.7307
136.5000,134.7961,6.7664
137.0000,135.2770,6.8000
137.5000,135.7834,6.8344
138.0000,136.2875,6.8677
138.5000,136.7732,6.8985
139.0000,137.2686,6.9284
139.5000,137.7734,6.9565
140.0000,138.2671,6.9819
140.5000,138.7981,7.0074
141.0000,139.2953,7.0298
141.5000,139.7866,7.0509
142.0000,140.2834,7.0715
142.5000,140.7667,7.0916
143.0000,141.2428,7.1121
143.5000,141.7387,7.1339
144.0000,142.2081,7.1539
144.5000,142.7134,7.1745
145.0000,143.2295,7.1941
145.5000,143.6992,7.2109
146.0000,144.2140,7.2278
146.5000,144.7522,7.2439
147.0000,145.2360,7.2567
147.5000,145.7341,7.2680
148.0000,146.2418,7.2774
148.5000,146.7489,7.2849
149.0000,147.2249,7.2902
149.5000,147.7160,7.2942
150.0000,148.2237,7.2970
150.5000,148.7491,7.2986
151.0000,149.2326,7.2989
151.5000,149.7154,7.2984
152.0000,150.2120,7.2969
152.5000,150.7222,7.2944
153.0000,151.2458,7.2911
153.5000,151.7412,7.2871
154.0000,152.2267,7.2824
154.5000,152.7213,7.2770
155.0000,153.2244,7.2707
155.5000,153.7355,7.2635
156.0000,154.2538,7.2555
156.5000,154.7459,7.2472
157.0000,155.2394,7.2381
157.5000,155.7374,7.2282
158.0000,156.2393,7.2174
158.5000,156.7445,7.2058
159.0000,157.2525,7.1933
159.5000,157.7537,7.1801
160.0000,158.2525,7.1662
160.5000,158.7523,7.1514
161.0000,159.2528,7.1358
161.5000,159.7534,7.1192
162.0000,160.2538,7.1018
162.5000,160.7547,7.0834
163.0000,161.2570,7.0641
163.5000,161.7583,7.0439
164.0000,162.2583,7.0228
164.5000,162.7571,7.0009
165.0000,163.2546,6.9781
165.5000,163.7509,6.9545
166.0000,164.2498,6.9299
166.5000,164.7480,6.9045
167.0000,165.2457,6.8784
167.5000,165.7436,6.8516
168.0000,166.2425,6.8242
168.5000,166.7449,6.7958
169.0000,167.2279,6.7677
169.5000,167.7076,6.7391
170.0000,168.1952,6.7091
170.5000,168.6915,6.6777
171.0000,169.1972,6.6449
171.5000,169.7130,6.6105
172.0000,170.2390,6.5745
172.5000,170.7141,6.5413
173.0000,171.1958,6.5069
173.5000,171.6853,6.4712
174.0000,172.1825,6.4343
174.5000,172.6868,6.3962
175.0000,173.1978,6.3569
175.5000,173.7150,6.3165
176.0000,174.2249,6.2761
176.5000,174.7157,6.2366
177.0000,175.2101,6.1963
177.5000,175.7075,6.1552
178.0000,176.2072,6.1133
178.5000,176.7086,6.0709
179.0000,177.2108,6.0278
179.5000,177.7132,5.9842
180.0000,178.2166,5.9401
180.5000,178.7272,5.8948
181.0000,179.2356,5.8491
181.5000,179.7409,5.8033
182.0000,180.2424,5.7573
182.5000,180.7393,5.7112
183.0000,181.2308,5.6650
183.5000,181.7161,5.6190
184.0000,182.2028,5.5723
184.5000,182.7345,5.5206
185.0000,183.2557,5.4694
185.5000,183.7655,5.4186
186.0000,184.2633,5.3683
186.5000,184.7484,5.3186
187.0000,185.2202,5.2696
187.5000,185.6816,5.2211
188.0000,186.2271,5.1627
188.5000,186.7514,5.1056
189.0000,187.2547,5.0499
189.5000,187.7374,4.9954
190.0000,188.2007,4.9422
190.5000,188.6711,4.8872
191.0000,189.1903,4.8255
191.5000,189.6904,4.7651
192.0000,190.1773,4.7057
192.5000,190.6573,4.6468
193.0000,191.1723,4.5835
193.5000,191.7046,4.5179
194.0000,192.2043,4.4562
194.5000,192.6647,4.3993
195.0000,193.1846,4.3349
195.5000,193.7115,4.2696
196.0000,194.1371,4.2169
196.5000,194.6675,4.1514
197.0000,195.1107,4.0978
197.5000,195.5692,4.0447
198.0000,196.0807,3.9866
198.5000,196.5366,3.9351
199.0000,197.0309,3.8796
199.5000,197.5920,3.8169
200.0000,198.0591,3.7652
200.5000,198.5568,3.7106
201.0000,199.0732,3.6547
201.5000,199.5710,3.6020
202.0000,200.0380,3.5541
202.5000,200.5243,3.5062
203.0000,201.0379,3.4578
203.5000,201.5684,3.4102
204.0000,202.0176,3.3713
204.5000,202.4901,3.3316
205.0000,202.9862,3.2911
205.5000,203.5058,3.2497
206.0000,204.0481,3.2072
206.5000,204.5438,3.1689
207.0000,205.0191,3.1326
207.5000,205.5069,3.0955
208.0000,206.0061,3.0577
208.5000,206.5152,3.0192
209.0000,207.0329,2.9801
209.5000,207.5576,2.9402
210.0000,208.0537,2.9023
210.5000,208.5528,2.8640
211.0000,209.0537,2.8251
211.5000,209.5552,2.7857
212.0000,210.0557,2.7458
212.5000,210.5538,2.7056
213.0000,211.0481,2.6650
213.5000,211.5699,2.6213
214.0000,212.0897,2.5767
214.5000,212.6004,2.5319
215.0000,213.1002,2.4868
215.5000,213.5880,2.4415
216.0000,214.0625,2.3960
216.5000,214.5478,2.3480
217.0000,215.0931,2.2917
217.5000,215.6139,2.2355
218.0000,216.1094,2.1793
218.5000,216.5796,2.1234
219.0000,217.0249,2.0676
219.5000,217.5547,1.9975
220.0000,218.0648,1.9258
220.5000,218.5456,1.8548
221.0000,219.0065,1.7844
221.5000,219.4983,1.7086
222.0000,219.9973,1.6318
222.5000,220.4893,1.5563
223.0000,220.9754,1.4823
223.5000,221.4851,1.4055
224.0000,221.9820,1.3318
224.5000,222.4652,1.2618
225.0000,222.9671,1.1913
225.5000,223.4699,1.1240
226.0000,223.9550,1.0631
226.5000,224.4538,1.0058
227.0000,224.9573,0.9549
227.5000,225.4417,0.9141
228.0000,225.9486,0.8817
228.5000,226.4464,0.8619
229.0000,226.9401,0.8555
229.5000,227.4441,0.8639
230.0000,227.9354,0.8871
230.5000,228.4395,0.9262
231.0000,228.9328,0.9784
231.5000,229.4184,1.0416
232.0000,229.9122,1.1205
232.5000,230.3847,1.2126
233.0000,230.8648,1.3204
233.5000,231.3831,1.4484
234.0000,231.8410,1.5685
234.5000,232.3239,1.6996
235.0000,232.8278,1.8391
235.5000,233.3083,1.9733
236.0000,233.7907,2.1076
236.5000,234.2765,2.2412
237.0000,234.7682,2.3736
237.5000,235.2657,2.5031
238.0000,235.7501,2.6233
238.5000,236.2179,2.7322
239.0000,236.7428,2.8430
239.5000,237.2308,2.9319
240.0000,237.7048,3.0010
240.5000,238.2219,3.0516
241.0000,238.6901,3.0721
241.5000,239.1819,3.0746
242.0000,239.6880,3.0603
242.5000,240.1546,3.0260
243.0000,240.6690,2.9669
243.5000,241.1570,2.8950
244.0000,241.6431,2.8121
244.5000,242.1561,2.7161
245.0000,242.6466,2.6188
245.5000,243.1359,2.5184
246.0000,243.6312,2.4154
246.5000,244.1316,2.3115
247.0000,244.6308,2.2100
247.5000,245.1176,2.1148
248.0000,245.6101,2.0246
248.5000,246.1245,1.9400
249.0000,246.6039,1.8738
249.5000,247.1066,1.8224
250.0000,247.6052,1.7956
250.5000,248.0820,1.7953
251.0000,248.5762,1.8144
251.5000,249.0660,1.8522
252.0000,249.5515,1.9155
252.5000,250.0619,2.0088
253.0000,250.5280,2.1141
253.5000,251.0221,2.2421
254.0000,251.5109,2.3812
254.5000,251.9813,2.5236
255.0000,252.4653,2.6762
255.5000,252.9500,2.8328
256.0000,253.4240,2.9875
256.5000,253.9012,3.1429
257.0000,254.3794,3.2968
257.5000,254.8631,3.4487
258.0000,255.3425,3.5940
258.5000,255.8160,3.7310
259.0000,256.3047,3.8644
259.5000,256.7898,3.9879
260.0000,257.2698,4.1013
260.5000,257.7512,4.2071
261.0000,258.2367,4.3082
261.5000,258.7333,4.4063
262.0000,259.2082,4.4890
262.5000,259.6939,4.5582
263.0000,260.2042,4.6129
263.5000,260.7063,4.6493
264.0000,261.1862,4.6694
264.5000,261.6860,4.6768
265.0000,262.2054,4.6720
265.5000,262.7087,4.6571
266.0000,263.1943,4.6348
266.5000,263.6920,4.6055
267.0000,264.2006,4.5700
267.5000,264.7165,4.5298
268.0000,265.2062,4.4889
268.5000,265.7015,4.4459
269.0000,266.2014,4.4017
269.5000,266.7046,4.3574
270.0000,267.2081,4.3143
270.5000,267.7079,4.2735
271.0000,268.2077,4.2354
271.5000,268.7068,4.2008
272.0000,269.2046,4.1704
272.5000,269.7044,4.1447
