distance_m,x_m,y_m
0.0000,0.0000,0.1188
0.5000,0.4926,0.2029
1.0000,0.9852,0.2876
1.5000,1.4779,0.3731
2.0000,1.9707,0.4594
2.5000,2.4623,0.5463
3.0000,2.9543,0.6342
3.5000,3.4467,0.7231
4.0000,3.9392,0.8128
4.5000,4.4305,0.9031
5.0000,4.9220,0.9944
5.5000,5.4137,1.0864
6.0000,5.9055,1.1792
6.5000,6.3968,1.2727
7.0000,6.8879,1.3667
7.5000,7.3788,1.4614
8.0000,7.8698,1.5567
8.5000,8.3611,1.6526
9.0000,8.8519,1.7490
9.5000,9.3421,1.8457
10.0000,9.8323,1.9431
10.5000,10.3236,2.0411
11.0000,10.8139,2.1396
11.5000,11.3033,2.2384
12.0000,11.7929,2.3381
12.5000,12.2834,2.4386
13.0000,12.7730,2.5399
13.5000,13.2618,2.6421
14.0000,13.7501,2.7454
14.5000,14.2381,2.8500
15.0000,14.7264,2.9564
15.5000,15.2154,3.0649
16.0000,15.7017,3.1748
16.5000,16.1872,3.2866
17.0000,16.6742,3.4011
17.5000,17.1628,3.5182
18.0000,17.6477,3.6366
18.5000,18.1316,3.7570
19.0000,18.6167,3.8798
19.5000,19.1030,4.0050
20.0000,19.5868,4.1316
20.5000,20.0698,4.2598
21.0000,20.5529,4.3898
21.5000,21.0359,4.5215
22.0000,21.5189,4.6547
22.5000,22.0014,4.7894
23.0000,22.4828,4.9251
23.5000,22.9626,5.0617
24.0000,23.4444,5.2000
24.5000,23.9266,5.3396
25.0000,24.4064,5.4797
25.5000,24.8838,5.6200
26.0000,25.3642,5.7622
26.5000,25.8452,5.9056
27.0000,26.3236,6.0492
27.5000,26.7995,6.1931
28.0000,27.2770,6.3385
28.5000,27.7541,6.4848
29.0000,28.2313,6.6313
29.5000,28.7107,6.7774
30.0000,29.1850,6.9197
30.5000,29.6622,7.0600
31.0000,30.1444,7.1982
31.5000,30.6314,7.3339
32.0000,31.1115,7.4636
32.5000,31.5944,7.5898
33.0000,32.0805,7.7127
33.5000,32.5687,7.8319
34.0000,33.0585,7.9473
34.5000,33.5483,8.0587
35.0000,34.0366,8.1659
35.5000,34.5221,8.2687
36.0000,35.0201,8.3704
36.5000,35.5163,8.4680
37.0000,36.0052,8.5607
37.5000,36.4857,8.6484
38.0000,36.9927,8.7374
38.5000,37.4907,8.8211
39.0000,37.9762,8.8991
39.5000,38.4646,8.9738
40.0000,38.9691,9.0468
40.5000,39.4610,9.1134
41.0000,39.9450,9.1743
41.5000,40.4473,9.2320
42.0000,40.9472,9.2837
42.5000,41.4368,9.3296
43.0000,41.9663,9.3752
43.5000,42.4618,9.4147
44.0000,42.9453,9.4510
44.5000,43.4616,9.4878
45.0000,43.9316,9.5199
45.5000,44.4359,9.5535
46.0000,44.9181,9.5851
46.5000,45.4064,9.6163
47.0000,45.9028,9.6467
47.5000,46.3816,9.6744
48.0000,46.9209,9.7036
48.5000,47.3844,9.7268
49.0000,47.8813,9.7496
49.5000,48.4127,9.7717
50.0000,48.9078,9.7899
50.5000,49.4039,9.8054
51.0000,49.9085,9.8182
51.5000,50.4156,9.8284
52.0000,50.8898,9.8363
52.5000,51.3811,9.8434
53.0000,51.8917,9.8500
53.5000,52.4187,9.8565
54.0000,52.8901,9.8622
54.5000,53.3773,9.8682
55.0000,53.8802,9.8745
55.5000,54.3981,9.8812
56.0000,54.9147,9.8883
56.5000,55.3981,9.8952
57.0000,55.8910,9.9025
57.5000,56.3926,9.9103
58.0000,56.9019,9.9186
58.5000,57.4175,9.9273
59.0000,57.9152,9.9360
59.5000,58.4127,9.9450
60.0000,58.9129,9.9544
60.5000,59.4149,9.9641
61.0000,59.9176,9.9741
61.5000,60.4209,9.9844
62.0000,60.9271,9.9951
62.5000,61.4312,10.0060
63.0000,61.9325,10.0172
63.5000,62.4303,10.0286
64.0000,62.9239,10.0402
64.5000,63.4259,10.0523
65.0000,63.9351,10.0650
65.5000,64.4387,10.0780
66.0000,64.9365,10.0912
66.5000,65.4288,10.1048
67.0000,65.9190,10.1189
67.5000,66.4223,10.1339
68.0000,66.9220,10.1496
68.5000,67.4198,10.1660
69.0000,67.9175,10.1833
69.5000,68.4167,10.2015
70.0000,68.9070,10.2201
70.5000,69.4010,10.2396
71.0000,69.8993,10.2599
71.5000,70.4027,10.2809
72.0000,70.9113,10.3027
72.5000,71.4066,10.3242
73.0000,71.8997,10.3459
73.5000,72.3972,10.3681
74.0000,72.8991,10.3907
74.5000,73.4047,10.4136
75.0000,73.9111,10.4365
75.5000,74.4082,10.4591
76.0000,74.9073,10.4817
76.5000,75.4076,10.5043
77.0000,75.9084,10.5267
77.5000,76.4090,10.5490
78.0000,76.9124,10.5712
78.5000,77.4185,10.5932
79.0000,77.9219,10.6147
79.5000,78.4219,10.6356
80.0000,78.9176,10.6560
80.5000,79.4083,10.6756
81.0000,79.9213,10.6955
81.5000,80.4319,10.7145
82.0000,80.9345,10.7325
82.5000,81.4285,10.7493
83.0000,81.9135,10.7648
83.5000,82.4190,10.7799
84.0000,82.9334,10.7939
84.5000,83.4362,10.8060
85.0000,83.9275,10.8164
85.5000,84.4081,10.8248
86.0000,84.9160,10.8317
86.5000,85.4207,10.8363
87.0000,85.9176,10.8386
87.5000,86.4096,10.8386
88.0000,86.9167,10.8363
88.5000,87.4333,10.8312
89.0000,87.9353,10.8236
89.5000,88.4196,10.8134
90.0000,88.9243,10.7993
90.5000,89.4444,10.7805
91.0000,89.9351,10.7580
91.5000,90.4059,10.7312
92.0000,90.9268,10.6944
92.5000,91.4183,10.6518
93.0000,91.8980,10.6020
93.5000,92.3934,10.5421
94.0000,92.8870,10.4745
94.5000,93.3676,10.4027
95.0000,93.8530,10.3256
95.5000,94.3636,10.2414
96.0000,94.8382,10.1613
96.5000,95.3226,10.0783
97.0000,95.8316,9.9899
97.5000,96.3315,9.9020
98.0000,96.8159,9.8153
98.5000,97.3118,9.7246
99.0000,97.8135,9.6300
99.5000,98.2979,9.5349
100.0000,98.7795,9.4358
100.5000,99.2689,9.3301
101.0000,99.7691,9.2168
101.5000,100.2413,9.1051
102.0000,100.7155,8.9888
102.5000,101.2018,8.8658
103.0000,101.7002,8.7363
103.5000,102.1895,8.6063
104.0000,102.6613,8.4788
104.5000,103.1410,8.3473
105.0000,103.6277,8.2126
105.5000,104.1201,8.0754
106.0000,104.6057,7.9395
106.5000,105.0871,7.8045
107.0000,105.5700,7.6693
107.5000,106.0528,7.5346
108.0000,106.5343,7.4012
108.5000,107.0239,7.2667
109.0000,107.5161,7.1332
109.5000,108.0025,7.0033
110.0000,108.4818,6.8777
110.5000,108.9530,6.7570
111.0000,109.4533,6.6323
111.5000,109.9515,6.5121
112.0000,110.4372,6.3995
112.5000,110.9102,6.2945
113.0000,111.3945,6.1923
113.5000,111.8965,6.0924
114.0000,112.3862,6.0009
114.5000,112.8668,5.9165
115.0000,113.3566,5.8352
115.5000,113.8561,5.7561
116.0000,114.3505,5.6809
116.5000,114.8372,5.6095
117.0000,115.3447,5.5380
117.5000,115.8452,5.4702
118.0000,116.3327,5.4072
118.5000,116.8260,5.3470
119.0000,117.3310,5.2898
119.5000,117.8230,5.2392
120.0000,118.3129,5.1949
120.5000,118.8149,5.1569
121.0000,119.3113,5.1277
121.5000,119.8058,5.1079
122.0000,120.3020,5.0977
122.5000,120.8032,5.0974
123.0000,121.3022,5.1071
123.5000,121.7945,5.1258
124.0000,122.2971,5.1536
124.5000,122.8020,5.1899
125.0000,123.2940,5.2324
125.5000,123.7934,5.2822
126.0000,124.2977,5.3388
126.5000,124.7903,5.3998
127.0000,125.2828,5.4656
127.5000,125.7808,5.5354
128.0000,126.2694,5.6055
128.5000,126.7548,5.6755
129.0000,127.2527,5.7468
129.5000,127.7633,5.8189
130.0000,128.2486,5.8861
130.5000,128.7407,5.9527
131.0000,129.2408,6.0188
131.5000,129.7471,6.0840
132.0000,130.2432,6.1462
132.5000,130.7410,6.2071
133.0000,131.2384,6.2664
133.5000,131.7331,6.3240
134.0000,132.2427,6.3820
134.5000,132.7458,6.4380
135.0000,133.2388,6.4917
135.5000,133.7224,6.5433
136.0000,134.2428,6.5977
136.5000,134.7442,6.6491
137.0000,135.2258,6.6975
137.5000,135.7258,6.7466
138.0000,136.2313,6.7950
138.5000,136.7168,6.8398
139.0000,137.2085,6.8832
139.5000,137.7120,6.9249
140.0000,138.2061,6.9632
140.5000,138.7321,7.0017
141.0000,139.2305,7.0365
141.5000,139.7188,7.0695
142.0000,140.2200,7.1030
142.5000,140.7009,7.1362
143.0000,141.1880,7.1729
143.5000,141.6632,7.2114
144.0000,142.1579,7.2522
144.5000,142.6350,7.2910
145.0000,143.1824,7.3342
145.5000,143.6366,7.3687
146.0000,144.1338,7.4048
146.5000,144.6701,7.4419
147.0000,145.1665,7.4742
147.5000,145.6594,7.5040
148.0000,146.1622,7.5320
148.5000,146.6766,7.5584
149.0000,147.1546,7.5814
149.5000,147.6392,7.6037
150.0000,148.1404,7.6258
150.5000,148.6592,7.6480
151.0000,149.1628,7.6688
151.5000,149.6401,7.6880
152.0000,150.1315,7.7072
152.5000,150.6368,7.7263
153.0000,151.1557,7.7452
153.5000,151.6677,7.7630
154.0000,152.1501,7.7791
154.5000,152.6417,7.7947
155.0000,153.1419,7.8096
155.5000,153.6501,7.8237
156.0000,154.1656,7.8369
156.5000,154.6681,7.8486
157.0000,155.1608,7.8589
157.5000,155.6579,7.8680
158.0000,156.1588,7.8758
158.5000,156.6628,7.8821
159.0000,157.1692,7.8870
159.5000,157.6737,7.8902
160.0000,158.1736,7.8917
160.5000,158.6742,7.8916
161.0000,159.1749,7.8896
161.5000,159.6754,7.8859
162.0000,160.1751,7.8803
162.5000,160.6746,7.8728
163.0000,161.1787,7.8634
163.5000,161.6812,7.8520
164.0000,162.1820,7.8388
164.5000,162.6809,7.8238
165.0000,163.1780,7.8071
165.5000,163.6734,7.7887
166.0000,164.1726,7.7688
166.5000,164.6712,7.7475
167.0000,165.1691,7.7251
167.5000,165.6671,7.7019
168.0000,166.1660,7.6779
168.5000,166.6683,7.6525
169.0000,167.1511,7.6266
169.5000,167.6327,7.5988
170.0000,168.1218,7.5686
170.5000,168.6194,7.5354
171.0000,169.1261,7.4990
171.5000,169.6425,7.4594
172.0000,170.1561,7.4173
172.5000,170.6325,7.3759
173.0000,171.1166,7.3317
173.5000,171.6081,7.2846
174.0000,172.1068,7.2346
174.5000,172.6122,7.1818
175.0000,173.1237,7.1262
175.5000,173.6409,7.0680
176.0000,174.1335,7.0107
176.5000,174.6248,6.9518
177.0000,175.1191,6.8909
177.5000,175.6159,6.8280
178.0000,176.1142,6.7635
178.5000,176.6136,6.6973
179.0000,177.1131,6.6296
179.5000,177.6120,6.5606
180.0000,178.1192,6.4891
180.5000,178.6244,6.4165
181.0000,179.1265,6.3431
181.5000,179.6247,6.2690
182.0000,180.1182,6.1944
182.5000,180.6061,6.1196
183.0000,181.0879,6.0446
183.5000,181.5772,5.9673
184.0000,182.1020,5.8833
184.5000,182.6161,5.7997
185.0000,183.1188,5.7169
185.5000,183.6094,5.6350
186.0000,184.0872,5.5542
186.5000,184.5519,5.4747
187.0000,185.0402,5.3901
187.5000,185.5707,5.2969
188.0000,186.0807,5.2062
188.5000,186.5706,5.1180
189.0000,187.0411,5.0323
189.5000,187.4934,4.9489
190.0000,187.9942,4.8557
190.5000,188.4971,4.7611
191.0000,188.9847,4.6686
191.5000,189.4633,4.5774
192.0000,189.9413,4.4858
192.5000,190.4743,4.3833
193.0000,190.9822,4.2849
193.5000,191.4583,4.1921
194.0000,191.9052,4.1042
194.5000,192.4645,3.9933
195.0000,192.9433,3.8974
195.5000,193.3946,3.8064
196.0000,193.8999,3.7054
196.5000,194.3521,3.6206
197.0000,194.8420,3.5418
197.5000,195.2896,3.4794
198.0000,195.8226,3.4100
198.5000,196.2662,3.3539
199.0000,196.7769,3.2901
199.5000,197.3162,3.2232
200.0000,197.7902,3.1648
200.5000,198.2893,3.1038
201.0000,198.8033,3.0417
201.5000,199.2953,2.9837
202.0000,199.7614,2.9334
202.5000,200.2478,2.8888
203.0000,200.7624,2.8518
203.5000,201.3009,2.8240
204.0000,201.7485,2.8085
204.5000,202.2194,2.7990
205.0000,202.7140,2.7953
205.5000,203.2321,2.7973
206.0000,203.7730,2.8050
206.5000,204.2902,2.8167
207.0000,204.7634,2.8305
207.5000,205.2490,2.8473
208.0000,205.7459,2.8668
208.5000,206.2528,2.8886
209.0000,206.7681,2.9123
209.5000,207.2904,2.9377
210.0000,207.8023,2.9633
210.5000,208.3031,2.9889
211.0000,208.8058,3.0148
211.5000,209.3089,3.0407
212.0000,209.8110,3.0661
212.5000,210.3105,3.0906
213.0000,210.8061,3.1140
213.5000,211.3059,3.1362
214.0000,211.8386,3.1580
214.5000,212.3612,3.1769
215.0000,212.8720,3.1926
215.5000,213.3694,3.2047
216.0000,213.8519,3.2127
