Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====

Obj funtion: (0.10360249038554538, 0.005862626083046421)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249027844266, 0.005862626013732561)   (rho_normalized calls: 357) 


Obj funtion: (0.1036024907132894, 0.005862626018997401)   (rho_normalized calls: 357) 


Obj funtion: (0.10360248883212185, 0.005862625706030102)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249306469711, 0.005862625886141277)   (rho_normalized calls: 357) 


Obj funtion: (0.10360248465690661, 0.0058626261375323355)   (rho_normalized calls: 357) 


Obj funtion: (0.1036024892484987, 0.0058626260852018)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249038407733, 0.005862626082651182)   (rho_normalized calls: 357) 


Obj funtion: (0.1036024903804811, 0.005862626079293272)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249039979248, 0.00586262608893477)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249048254243, 0.005862626088029262)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249047387918, 0.005862626079545675)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249040192492, 0.0058626260775704545)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249039489842, 0.005862626086009579)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249041478319, 0.005862626100358291)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249036061087, 0.005862626059698707)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249024629693, 0.005862626067046975)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249016602835, 0.005862626077428254)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249039295229, 0.005862626065233035)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249038543336, 0.005862626082985387)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249038547716, 0.005862626082867878)   (rho_normalized calls: 357) 


Obj funtion: (0.10360249038750662, 0.005862626083476038)   (rho_normalized calls: 357) 


