Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.08452516324514738, 0.005149950572679357)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439468608, 0.005149950604350395)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439403923, 0.005149950595590503)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516441172603, 0.0051499505765026845)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516441785926, 0.00514995059793454)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516445151223, 0.00514995060461367)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516441013828, 0.005149950597729862)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516440801308, 0.005149950606956449)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516441275389, 0.00514995063537251)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516436541584, 0.005149950675331291)   (rho_normalized calls: 357) 


Obj funtion: (0.0845251645828383, 0.0051499506182084084)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516441425142, 0.005149950604927588)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516438846137, 0.00514995059364233)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439635022, 0.005149950604571232)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439654112, 0.005149950603689554)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439817138, 0.005149950589154935)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439494716, 0.005149950605068229)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439221164, 0.00514995060379851)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439655706, 0.00514995060450728)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439726276, 0.005149950605162287)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439643237, 0.0051499506079373866)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516439174099, 0.005149950657498754)   (rho_normalized calls: 357) 


Obj funtion: (0.084525164424523, 0.005149950603422551)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516441055997, 0.005149950593998205)   (rho_normalized calls: 357) 


Obj funtion: (0.08452516438980821, 0.005149950625183449)   (rho_normalized calls: 357) 


Obj funtion: (0.07969177183355897, 0.007085664996166795)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177171444422, 0.0070856643272433125)   (rho_normalized calls: 273) 


Obj funtion: (0.0796917717625586, 0.007085663062062389)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177067312849, 0.007085665829750195)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177073699477, 0.007085620829864241)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177209073398, 0.007085726293882821)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177067928247, 0.0070856626861456)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183170081, 0.007085664986012199)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183263634, 0.007085664984157901)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177184779751, 0.007085664980531713)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177185668877, 0.007085663823905809)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177188808468, 0.007085664710729526)   (rho_normalized calls: 273) 


Obj funtion: (0.0796917718471773, 0.007085664949864064)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177184560916, 0.007085665054288015)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177184135767, 0.007085665048539504)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177180146005, 0.007085665009248171)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177198444857, 0.0070856668032391705)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177180443958, 0.007085668210160935)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177182728411, 0.007085665192809941)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183343404, 0.007085664994954255)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183370593, 0.007085665003873058)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183495832, 0.007085664981759988)   (rho_normalized calls: 273) 


Obj funtion: (0.0796917718324002, 0.007085664838361222)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177182926125, 0.007085664926884184)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183362462, 0.007085665000370554)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183437542, 0.007085665003189785)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177183304865, 0.007085664954487828)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177182966639, 0.007085665047044743)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177185853984, 0.0070856651101974776)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177185167947, 0.007085664478226398)   (rho_normalized calls: 273) 


Obj funtion: (0.07969177182685526, 0.007085664988164863)   (rho_normalized calls: 273) 


Obj funtion: (0.071164587024809, 0.007455914327041215)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458690417088, 0.007455914417365186)   (rho_normalized calls: 273) 


Obj funtion: (0.0711645863664496, 0.0074559139549315945)   (rho_normalized calls: 273) 


Obj funtion: (0.07116458690986686, 0.0074559144574725756)   (rho_normalized calls: 273) 


Obj funtion: (0.0711645873576615, 0.00745591412784753)   (rho_normalized calls: 273) 


