gate_index,x1_m,y1_m,z1_m,x2_m,y2_m,z2_m
1,5.55111512312578E-16,2.25,0,5.55111512312578E-16,-2.25,0
2,9.35361971221975,3.19656048491607,0,7.97554247407736,-3.14984784863439,0
3,13.9789912106752,4.18814467341385,0,13.9789912106752,-3.14984784863439,0
4,26.4369364452705,5.47035036246413,0,26.4369364452705,1.82057955308973,0
5,40.5470192045273,5.47035036246413,0,37.1557677030033,12.3814316536177,0
6,50.1379023572749,17.2033673823472,0,50.1379023572749,7.13558948719782,0
7,60.84153990896,12.1694784347725,0,60.84153990896,17.2033673823472,0
8,73.7706862585202,10.7917825122784,0,73.7706862585202,6.28777661181682,0
9,83.6794992395356,10.3678760745879,0,83.6794992395356,15.984636373987,0
10,94.997008183022,9.49719701025099,0,94.997008183022,15.1253579087323,0
11,102.347587010548,3.19656048491607,0,102.347587010548,14.582314551591,0
12,110.864695986966,7.49920861712099,0,110.603968161157,2.89301702783371,0
13,114.905977287001,7.49920861712099,0,114.608852270938,2.25,0
14,118.773440036497,7.49920861712099,0,117.817438008532,2.25,0
15,122.380174960184,6.28777661181682,0,122.380174960184,2.25,0
16,137.512690170403,10.1940801053879,0,136.833510822379,2.89301702783371,0
17,145.784124373117,10.7917825122784,0,145.155465029883,5.80099134145686,0
18,153.012533148509,10.1940801053879,0,152.417513894816,5.47035036246414,0
19,182.500906600497,8.72683527997922,0,182.500906600497,4.18814467341385,0
20,190.024467511143,8.14013557593795,0,189.748373532771,3.48104969090441,0
21,198.824963071762,6.72515393677962,0,198.514357346093,-0.453289500901697,0
22,218.832030790887,1.82057955308973,0,219.205622290942,8.14013557593795,0
23,228.591586788646,2.54365511489546,0,228.591586788646,-1.87255764872957,0
24,238.444369614643,2.54365511489546,0,238.444369614643,7.77828904200914,0
25,248.34884604086,3.19656048491607,0,248.34884604086,-0.992613646752954,0
26,258.159763628763,3.19656048491607,0,258.159763628763,8.94701616858455,0
27,272.2834030606,5.31708402900333,0,272.2834030606,1.02842689144872,0
28,285.217075446638,3.19656048491607,0,284.973240232369,12.1694784347725,0
29,294.330416579951,8.72683527997922,0,293.355075722874,14.0205857744223,0
30,307.821517702676,6.28777661181682,0,305.862221387937,15.984636373987,0
31,317.617999276376,12.1694784347725,0,319.033046614799,8.14013557593795,0
32,327.973627407153,20.3330821364462,0,330.581113256802,10.7917825122784,0
33,340.449290010251,17.2033673823472,0,338.466505022835,22.8493414163684,0
34,353.534853968472,20.3330821364462,0,350.217557104421,26.2194909456479,0
35,355.542051244801,23.2544393810196,0,353.534853968472,28.183879750829,0
36,359.312150631093,20.7141880713368,0,372.063775547023,22.2882717609371,0
37,366.131950493225,14.2585233471652,0,350.706225328027,7.49920861712099,0
38,354.154526265817,2.54365511489546,0,367.24710908019,2.54365511489546,0
39,354.154526265817,-3.91422264573711,0,364.32240829937,-8.81274740115034,0
40,351.067576608252,-14.4522254809118,0,361.523251296277,-18.0746639555031,0
41,354.838317402272,-20.4691552147772,0,360.249332025362,-21.7516582147349,0
42,349.374015480124,-34.6997930360282,0,345.215702232251,-33.5870049837804,0
43,345.824993894508,-49.2160824448192,0,351.067576608252,-51.1296081053983,0
44,343.950887277134,-54.3349046774936,0,348.894241630533,-56.7472616019521,0
45,346.639629513735,-62.5014238311082,0,337.065833038087,-58.8120095795168,0
46,339.789435436545,-66.7058512535441,0,335.411174853169,-64.3545631624719,0
47,338.70838344065,-69.0030867448216,0,334.519306956556,-67.9490610488237,0
48,332.331791810931,-74.6305165230299,0,343.50624575943,-78.0773630146068,0
49,335.411174853169,-83.6923871379822,0,329.774454091374,-81.2462380149276,0
50,327.973627407153,-87.5247248135006,0,343.50624575943,-90.930374375212,0
51,336.420611399149,-96.3134978759817,0,343.50624575943,-96.6980066974653,0
52,337.065833038087,-104.724645473886,0,343.50624575943,-104.724645473886,0
53,331.753686471145,-113.380121832398,0,321.212724828871,-108.298837758687,0
54,319.033046614799,-119.809601569006,0,325.651846019497,-122.671704033234,0
55,322.605054111717,-131.34696179746,0,319.033046614799,-129.731625476915,0
56,320.160220761703,-138.157568986787,0,316.885890382219,-136.93515231178,0
57,307.402726896073,-165.200628787833,0,312.247320970661,-167.659627295389,0
58,305.127235739827,-171.586684613426,0,309.861725403629,-173.6419669481,0
59,298.311244233664,-178.317784083988,0,306.325325672528,-180.34850155266,0
60,299.700195824534,-188.376027826491,0,307.402726896073,-188.376027826491,0
61,291.64465199688,-190.736663678036,0,307.068705269397,-196.198295656501,0
62,297.821604960198,-201.622616111768,0,287.938723637758,-197.609263290472,0
63,293.355075722874,-205.257660262746,0,300.11543676521,-205.257660262746,0
64,305.862221387937,-211.50183744862,0,285.217075446638,-211.50183744862,0
65,310.680305472466,-222.620793763545,0,303.60345169882,-224.329425555642,0
66,288.870602545093,-233.712628798454,0,293.355075722874,-238.080373632027,0
67,271.64171324731,-243.83596618886,0,271.64171324731,-238.42259467749,0
68,261.445477264069,-226.987301451587,0,251.80674442495,-239.959389553546,0
69,247.67585892247,-223.172009546791,0,243.860567017674,-226.987301451587,0
70,234.078057738639,-212.422834727139,0,229.656418769513,-225.404313239059,0
71,214.747559168488,-214.180152778971,0,214.747559168488,-219.395419255376,0
72,197.593411673581,-216.968131114046,0,206.853461577011,-228.598312837996,0
73,193.459460823836,-231.133802692506,0,193.459460823836,-237.417407984119,0
74,182.500906600497,-238.42259467749,0,190.641505353034,-247.584801582635,0
75,179.83635702118,-254.60814799834,0,179.251078153205,-250.961410436339,0
76,169.913673293468,-251.546101504245,0,170.672927295421,-258.111415521133,0
77,162.767753275087,-250.961410436339,0,156.247101258314,-250.961410436339,0
78,155.942390564302,-243.174438788095,0,163.474311744316,-240.479192483482,0
79,154.757603670593,-234.143941532818,0,145.784124373117,-235.238338470469,0
80,150.451341338434,-226.485598608217,0,160.999394805139,-226.037872234691,0
81,150.451341338434,-218.368960855871,0,155.942390564302,-214.829105624672,0
82,138.029956276343,-216.156990874546,0,138.489655727155,-207.473779025881,0
83,126.282081422267,-216.968131114046,0,124.749749919561,-206.503302407501,0
84,113.972351683865,-218.368960855871,0,122.808796682801,-224.329425555642,0
85,104.70979994515,-226.987301451587,0,116.992186678493,-233.265955869525,0
86,106.466531628209,-235.817994642391,0,114.905977287001,-239.306507967342,0
87,105.554191752751,-241.840867065436,0,112.063839154021,-245.865659969983,0
88,106.10369892467,-249.912499705242,0,103.483376877491,-244.885963336569,0
89,99.2274381807359,-243.83596618886,0,96.9152314511463,-249.259049977315,0
90,98.8755806349288,-241.210158548219,0,91.9389604461598,-244.383309699702,0
91,98.8755806349288,-238.42259467749,0,91.9389604461598,-239.306507967342,0
92,91.9389604461598,-236.843505146692,0,98.8755806349288,-232.118560960139,0
93,89.6293940928201,-228.598312837996,0,84.0837653979982,-234.143941532818,0
94,78.7040682491199,-226.037872234691,0,83.6794992395356,-218.833922723305,0
95,71.6783286117857,-221.447362105308,0,65.7386936526868,-229.287680251319,0
96,60.6836079906942,-218.076392270871,0,64.3973031109254,-213.174314712165,0
97,48.4233626126462,-212.118971023805,0,48.0462177198872,-220.463301776097,0
98,39.2284403294928,-211.06687712329,0,39.2284403294928,-215.905421279702,0
99,31.8432939854957,-215.459765896875,0,31.8432939854957,-211.06687712329,0
100,1.84011249927586,-215.459765896875,0,1.84011249927586,-211.06687712329,0
101,-5.51967022884978,-211.06687712329,0,-5.51967022884973,-215.699449895219,0
102,-13.5692155873741,-211.887971120843,0,-13.8799770460892,-218.595239271444,0
103,-20.8629337379837,-210.777313473537,0,-21.216652132972,-216.43680779335,0
104,-31.6475419421283,-221.851623558983,0,-39.078071885838,-213.112953849859,0
105,-42.9563957880911,-233.712628798454,0,-38.5877616619233,-235.817994642391,0
