gate_index,x1_m,y1_m,z1_m,x2_m,y2_m,z2_m
1,5.55111512312578E-16,2.25,0,5.55111512312578E-16,-2.25,0
2,14.0653099275854,-2.47342699782766,0,13.4978920670819,7.03323387660917,0
3,26.2323037908592,0.589069471482771,0,28.1974698313834,10.0911779866697,0
4,38.9609867948146,13.9417645658778,0,41.0067793864359,7.86515032419653,0
5,49.4887704835409,17.4615012021087,0,49.4887704835409,8.02344892281138,0
6,67.5943184070023,6.69901683996461,0,67.5943184070023,11.0819785489402,0
7,86.2574478441669,9.92888943631888,0,86.2574478441669,15.4816493442288,0
8,97.5186692767363,8.77455321199838,0,99.6764437697971,14.3817316454067,0
9,113.365999929088,6.88014994286467,0,112.816492847908,2.25,0
10,124.683777675414,6.2961186030404,0,124.683777675414,1.83694372519665,0
11,137.44222184468,5.56357635408731,0,137.44222184468,8.77455321199838,0
12,145.634485995472,6.20145171657393,0,145.956376682728,10.3490643292943,0
13,165.645098429374,8.65246283717287,0,165.645098429374,5.03858774233758,0
14,189.379467295455,3.68338458177436,0,189.379467295455,7.86515032419653,0
15,198.902516531845,3.93977436890794,0,198.902516531845,0,0
16,218.986383190643,1.83694372519665,0,218.986383190643,7.52923138877812,0
17,228.933449489649,1.42629785813625,0,229.201080543373,-1.85567806453925,0
18,238.704572060646,2.7833982152192,0,238.704572060646,7.35123708176251,0
19,248.455589441168,2.04955876287064,0,248.455589441168,-1.06688563557415,0
20,258.236764607403,3.68338458177436,0,258.236764607403,8.50111327736692,0
21,273.084447773414,4.65318092942238,0,273.813304829727,1.57914373934629,0
22,294.687474939127,8.50111327736692,0,293.978353390165,13.0381811641702,0
23,318.843459191394,12.4296675533648,0,320.520481718903,8.50111327736692,0
24,341.13609439041,17.7422630845589,0,339.659569201904,22.794295347193,0
25,357.079904151982,23.3315666277352,0,356.033835924289,28.6713224378585,0
26,357.392347201121,17.9883506159766,0,371.951750650803,19.2303751312584,0
27,362.60361257232,11.7105029482672,0,355.262948651088,12.6718567594106,0
28,356.033835924289,-2.79768278251733,0,366.846040804104,-2.79768278251733,0
29,355.148607944077,-19.3233132960079,0,361.894554621208,-19.3233132960079,0
30,349.09774981863,-34.3703906274264,0,346.505785836493,-32.6595758775003,0
31,346.505785836493,-51.1622457123995,0,350.833457584071,-53.0225685020713,0
32,339.891180996179,-67.1868867288349,0,336.318278689036,-65.3137090814505,0
33,333.812748982828,-82.9754883377003,0,330.043436260264,-82.0644655947205,0
34,337.294771542975,-97.3310578027142,0,344.188794367365,-97.3310578027142,0
35,337.979944482133,-106.086045358625,0,344.188794367365,-107.453988466262,0
36,331.475119154566,-113.884025182293,0,325.056581120705,-110.002726151442,0
37,324.540325123045,-122.915403261839,0,320.873187053585,-122.002767090706,0
38,320.220486763058,-131.231735743381,0,323.358490803895,-132.835300575695,0
39,311.620033751519,-155.460038147571,0,315.513502724504,-156.502931622478,0
40,306.170260745697,-173.486460123675,0,310.012557517717,-175.030732510516,0
41,300.526312855695,-189.977083111724,0,307.438770206316,-192.679559788696,0
42,296.421333869581,-201.779736354007,0,288.109667829901,-199.423173277049,0
43,296.421333869581,-212.563222949142,0,306.580036806968,-213.692917825749,0
44,296.904626424652,-224.668059230397,0,306.580036806968,-226.181347497409,0
45,292.141141241435,-237.168202207825,0,288.37242706797,-234.500331392867,0
46,271.900367906971,-239.955978300689,0,271.534290011928,-244.826981786813,0
47,260.642183247476,-237.359552893691,0,256.929130083321,-240.823596169463,0
48,244.45394386781,-227.362789484559,0,248.612263354157,-223.77817874561,0
49,214.863103703031,-220.025522544944,0,214.863103703031,-215.5369652624,0
50,185.438196871384,-225.846009539987,0,204.556954308853,-238.864942298263,0
51,179.513281434999,-251.568454359815,0,179.513281434999,-256.17463504591,0
52,162.648062320405,-251.068893321039,0,161.238901129272,-264.768878105028,0
53,150.449799249333,-250.346800847393,0,141.187111966852,-251.867566435497,0
54,150.12957143055,-240.438608866854,0,158.428212531785,-239.765639955786,0
55,147.316141308385,-230.812903901628,0,141.187111966852,-232.059192858023,0
56,146.527008469241,-219.433379627017,0,154.811198427254,-215.36064440877,0
57,122.71578280116,-217.60466172294,0,122.71578280116,-213.063133374797,0
58,122.269751196426,-227.484821927847,0,110.957310663328,-220.126095467916,0
59,105.718346560022,-238.057268506837,0,115.605340413813,-247.179197360038,0
60,101.374886020833,-247.327509984581,0,108.147924357695,-256.926121858633,0
61,98.8133379515563,-246.44912507766,0,86.2574478441669,-247.179197360038,0
62,94.1036989246702,-239.765639955786,0,97.8222967917827,-232.937218118267,0
63,87.1591014758834,-231.509224753405,0,82.2845746600347,-237.493792329299,0
64,78.9061897381593,-227.069061713226,0,83.0085142861508,-220.553605078181,0
65,69.1859599344576,-223.498630304142,0,66.0195891953609,-230.685989563483,0
66,60.8484176889485,-218.456873458453,0,63.7167792298449,-211.945966625736,0
67,47.6626034236604,-216.145727350989,0,47.6626034236604,-220.025522544944,0
68,38.8646172754411,-217.530182024059,0,38.7529677050322,-221.538401601738,0
69,14.5109233729306,-217.60466172294,0,14.5109233729306,-221.719794954584,0
70,-5.96268524372198,-217.396202539568,0,-5.96268524372198,-221.312015254538,0
71,-14.3587329384694,-214.459818837815,0,-14.3587329384694,-217.887460649367,0
72,-21.3598549669616,-217.019690262649,0,-21.53780031576,-212.563222949142,0
73,-35.5721513161555,-221.918010141128,0,-22.5091515783172,-221.080638363061,0
74,-29.966133998114,-233.42588100772,0,-19.8254408065176,-230.672670784619,0
75,-22.6645185078082,-245.265287352936,0,-18.8230926443352,-246.972371103193,0
76,-32.7402587564916,-244.265588803233,0,-33.0185392011586,-249.207482111966,0
77,-47.2634584292167,-242.433665323872,0,-48.4138097835963,-244.478467348541,0
78,-55.1222686124837,-239.652807106063,0,-53.8931970128099,-236.43728280848,0
79,-57.6379406733164,-229.416078657266,0,-53.097073494329,-230.539429074367,0
80,-56.9259580145902,-226.181347497409,0,-56.2456190295851,-221.719794954584,0
81,-63.6819119786498,-225.922905592169,0,-64.3959823712947,-220.553605078181,0
82,-67.7797381009503,-226.457395164337,0,-72.2573179324954,-226.457395164337,0
83,-74.5857170211635,-237.754302971059,0,-70.3662919909185,-238.844282555527,0
84,-75.3334777222534,-242.943425187584,0,-74.5857170211635,-246.701241578004,0
85,-79.3178939138478,-239.121677864711,0,-89.3637711230479,-240.823596169463,0
86,-83.1222525873728,-223.203957526167,0,-94.6815081538678,-230.237523923011,0
87,-104.063007263114,-214.459818837815,0,-104.063007263114,-210.55542924051,0
88,-126.140165544898,-219.239789625276,0,-118.805192606807,-225.710844914186,0
89,-130.058918098527,-237.168202207825,0,-133.841416489715,-235.713134510397,0
90,-164.976237773228,-248.114711114172,0,-164.976237773228,-252.506884333138,0
91,-190.144938311891,-233.42588100772,0,-186.862064328587,-231.509224753405,0
92,-188.916104457883,-210.55542924051,0,-207.036174378527,-224.111168506917,0
93,-217.671021039944,-210.850578132761,0,-215.066184166954,-207.54345680872,0
94,-240.623618640862,-210.371967494287,0,-244.641808474278,-205.82539891248,0
95,-247.105677704729,-216.145727350989,0,-244.310840965709,-216.313840409612,0
96,-239.285771829116,-225.710844914186,0,-252.467153787319,-224.833559869965,0
97,-246.453381599195,-233.141206681051,0,-242.362930705422,-233.42588100772,0
98,-244.98563774797,-243.06588436915,0,-242.070733351676,-246.44912507766,0
99,-254.201894590393,-242.943425187584,0,-253.364080227372,-247.873187431102,0
100,-265.564958005806,-242.433665323872,0,-266.348617551696,-251.493886796247,0
101,-277.234359524914,-246.972371103193,0,-276.103463678552,-242.197898371099,0
102,-281.689317298333,-241.969057533702,0,-286.863382428878,-241.124854284578,0
103,-292.493466859065,-244.113480878519,0,-290.73954647583,-235.606967019825,0
104,-302.315421005186,-234.3727385718,0,-304.094068472143,-246.049598351261,0
105,-312.948960081968,-235.713134510397,0,-320.007854677044,-237.168202207825,0
106,-310.015131487592,-223.908318063642,0,-298.27816306762,-222.061439550057,0
107,-317.749920377662,-216.629548473213,0,-326.596069374118,-218.240822443643,0
108,-318.802272607603,-205.82539891248,0,-308.020816124177,-203.514537859693,0
109,-322.126693793362,-199.032462408549,0,-333.416263461933,-198.447427371,0
110,-322.126693793362,-172.566113841406,0,-318.644419773112,-172.566113841406,0
111,-320.681668455056,-156.041618502604,0,-324.801452043239,-155.386529239465,0
